date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:28:21	46350/46350	---M--	200	added ('OK')	image/jpeg	etag:%22b50e-62780658-b05002812960a1ec;;;%22	http://ietechennai.in/assets/img/trainers/arun.jpeg	C:/My%20Web%20Sites/IETE/ietechennai.in/assets/img/trainers/arun.jpg	(from http://ietechennai.in/trainers.html)
11:28:22	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63dcc7c6-688b6df261bc6bf1;gz%22	http://ietechennai.in/assets/img/favicon.png	C:/My%20Web%20Sites/IETE/ietechennai.in/assets/img/favicon.3a.delayed	(from http://ietechennai.in/events.html)
11:28:23	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63dcc7c6-688b6df261bc6bf1;gz%22	http://ietechennai.in/assets/img/apple-touch-icon.png	C:/My%20Web%20Sites/IETE/ietechennai.in/assets/img/apple-touch-icon.png	(from http://ietechennai.in/events.html)
11:28:25	35865/35865	---M--	200	added ('OK')	image/jpeg	etag:%228c19-62822fff-3790daac69ab9a19;;;%22	http://ietechennai.in/assets/img/trainers/sumathi.jpeg	C:/My%20Web%20Sites/IETE/ietechennai.in/assets/img/trainers/sumathi.jpg	(from http://ietechennai.in/trainers.html)
11:28:26	125544/125544	---M--	200	added ('OK')	image/jpeg	etag:%221ea68-62780658-bf18d1024c80d897;;;%22	http://ietechennai.in/assets/img/trainers/5.jpg	C:/My%20Web%20Sites/IETE/ietechennai.in/assets/img/trainers/5.jpg	(from http://ietechennai.in/trainers.html)
11:28:31	135020/135020	---M--	200	added ('OK')	image/jpeg	etag:%2220f6c-62780659-19cdbff121081dc5;;;%22	http://ietechennai.in/assets/img/trainers/dr_vaishali.jpg	C:/My%20Web%20Sites/IETE/ietechennai.in/assets/img/trainers/dr_vaishali.jpg	(from http://ietechennai.in/trainers.html)
11:29:08	218003/218003	---M--	200	added ('OK')	image/jpeg	etag:%2235393-628d2b1e-f9d88788422ef441;;;%22	http://ietechennai.in/assets/img/events/chencon2022.jpeg	C:/My%20Web%20Sites/IETE/ietechennai.in/assets/img/events/chencon2022.jpg	(from http://ietechennai.in/events.html)
11:29:42	201246/201246	---M--	200	added ('OK')	image/jpeg	etag:%223121e-623caeee-64e442c7e630125b;;;%22	http://ietechennai.in/assets/img/events/chencon22.JPG	C:/My%20Web%20Sites/IETE/ietechennai.in/assets/img/events/chencon22.jpg	(from http://ietechennai.in/events.html)
11:30:04	641721/641721	---M--	200	added ('OK')	application/pdf	etag:%229cab9-624dd506-5d86281e5cedcf7d;;;%22	http://ietechennai.in/assets/pdf/CHENCON2022.pdf	C:/My%20Web%20Sites/IETE/ietechennai.in/assets/pdf/CHENCON2022.pdf	(from http://ietechennai.in/events.html)
11:30:09	155031/155031	---M--	200	added ('OK')	image/jpeg	etag:%2225d97-5fee0a71-4abe5b6b06cb8989;;;%22	http://ietechennai.in/assets/img/events/Slide1.jpeg	C:/My%20Web%20Sites/IETE/ietechennai.in/assets/img/events/Slide1.jpg	(from http://ietechennai.in/events.html)
11:30:29	117489/117489	---M--	200	added ('OK')	image/jpeg	etag:%221caf1-5fee0a74-19375aea1c6b63a8;;;%22	http://ietechennai.in/assets/img/events/Slide10.jpeg	C:/My%20Web%20Sites/IETE/ietechennai.in/assets/img/events/Slide10.jpg	(from http://ietechennai.in/events.html)
11:30:30	159257/159257	---M--	200	added ('OK')	image/jpeg	etag:%2226e19-5fee0a74-c17e317a20fce322;;;%22	http://ietechennai.in/assets/img/events/Slide11.jpeg	C:/My%20Web%20Sites/IETE/ietechennai.in/assets/img/events/Slide11.jpg	(from http://ietechennai.in/events.html)
11:30:31	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63dcc7c6-688b6df261bc6bf1;gz%22	http://ietechennai.in/assets/img/events/Slide8.png	C:/My%20Web%20Sites/IETE/ietechennai.in/assets/img/events/Slide8.45.delayed	(from http://ietechennai.in/events.html)
11:30:32	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63dcc7c6-688b6df261bc6bf1;gz%22	http://ietechennai.in/assets/img/events/Slide7.png	C:/My%20Web%20Sites/IETE/ietechennai.in/assets/img/events/Slide7.png	(from http://ietechennai.in/events.html)
11:30:32	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63dcc7c6-688b6df261bc6bf1;gz%22	http://ietechennai.in/assets/img/events/Slide13.png	C:/My%20Web%20Sites/IETE/ietechennai.in/assets/img/events/Slide13.png	(from http://ietechennai.in/events.html)
11:30:32	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63dcc7c6-688b6df261bc6bf1;gz%22	http://ietechennai.in/assets/img/events/Slide6.png	C:/My%20Web%20Sites/IETE/ietechennai.in/assets/img/events/Slide6.png	(from http://ietechennai.in/events.html)
11:30:33	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63dcc7c6-688b6df261bc6bf1;gz%22	http://ietechennai.in/assets/img/events/Slide5.png	C:/My%20Web%20Sites/IETE/ietechennai.in/assets/img/events/Slide5.png	(from http://ietechennai.in/events.html)
11:30:43	867588/867588	---M--	200	added ('OK')	application/pdf	etag:%22d3d04-62867c8d-4204d7ff8f1d8b88;;;%22	http://ietechennai.in/assets/pdf/chencon_invitation.pdf	C:/My%20Web%20Sites/IETE/ietechennai.in/assets/pdf/chencon_invitation.pdf	(from http://ietechennai.in/events.html)
11:30:48	114315/114315	---M--	200	added ('OK')	image/jpeg	etag:%221be8b-5fee0a74-f7beb7fdcfbea326;;;%22	http://ietechennai.in/assets/img/events/Slide9.jpeg	C:/My%20Web%20Sites/IETE/ietechennai.in/assets/img/events/Slide9.jpg	(from http://ietechennai.in/events.html)
11:37:27	4819397/4819397	UR-M--	200	added ('Partial%20Content')	application/pdf	etag:%224989c5-627806b3-893b285727383a05;;;%22	http://ietechennai.in/assets/pdf/chenlink1_3.pdf	C:/My%20Web%20Sites/IETE/ietechennai.in/assets/pdf/chenlink1_3.pdf	(from http://ietechennai.in/)
11:43:11	4424934/4424934	UR-M--	200	added ('Partial%20Content')	application/pdf	etag:%224384e6-627806b1-e6845b660faeb46d;;;%22	http://ietechennai.in/assets/pdf/chenlink1_1.pdf	C:/My%20Web%20Sites/IETE/ietechennai.in/assets/pdf/chenlink1_1.pdf	(from http://ietechennai.in/)
11:43:15	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63dcc7c6-688b6df261bc6bf1;gz%22	http://ietechennai.in/dist/	C:/My%20Web%20Sites/IETE/ietechennai.in/dist/index.html	(from http://ietechennai.in/assets/vendor/aos/aos.js)
11:43:27	7053658/7053658	UR-M--	200	added ('Partial%20Content')	application/pdf	etag:%226ba15a-627806b2-b80eaeb8c7079a70;;;%22	http://ietechennai.in/assets/pdf/chenlink1_2.pdf	C:/My%20Web%20Sites/IETE/ietechennai.in/assets/pdf/chenlink1_2.pdf	(from http://ietechennai.in/)
